scenario,profile,pass,actual_state_sequence,max_speed_cmd,max_steering_cmd,max_logical_suction_request,max_hardware_suction_output,fault_state,notes
S01_ground_straight,guard,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK,145,0,0,0,,ok; surfaces=GROUND/UNKNOWN
S02_ground_curve_left_right,guard,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK,145,0,0,0,,ok; surfaces=GROUND/UNKNOWN
S03_precharge_before_transition,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,145,0,1450,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S04_wall_track,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,145,0,1450,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S05_wall_to_ground_transition,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > TRANSITION_DOWN > GROUND_RECOVERY > GROUND_TRACK,145,0,1450,0,,ok; surfaces=GROUND/TRANSITION_DOWN/TRANSITION_UP/UNKNOWN/WALL
S06_curved_or_cylinder_mode,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > CYLINDER_TRACK > WALL_TRACK,145,0,1450,0,,ok; surfaces=CYLINDER/GROUND/TRANSITION_DOWN/TRANSITION_UP/UNKNOWN/WALL
S07_stale_sensor_on_ground,guard,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > GROUND_FAULT,145,0,0,0,GROUND_FAULT,ok; surfaces=GROUND/UNKNOWN
S08_stale_sensor_on_wall,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > WALL_FAILSAFE_HOLD,145,0,1450,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S09_transition_timeout,logical_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > TRANSITION_CANDIDATE > SUCTION_PRECHARGE > APPROACH_TRANSITION > WALL_FAILSAFE_HOLD,145,0,1450,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN
S10_suction_unverified_lockout,guard,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_TRACK > SUCTION_LOCKOUT,145,0,0,0,SUCTION_LOCKOUT,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
